行政區,地點,地址,樣態,開放時間,緯度,經度,相對位置,照片連結,管理單位,管理單位電話,備註
松山區,臺北體育館,南京東路4段10號,戶外開放式吸菸區,24小時開放,25.050778,121.552194,體育館後方,https://lh3.googleusercontent.com/d/1Sf91EmEU2O5aOgNXIXhVg5Xfit5gGsQP,臺北市政府體育局,(02)25702330,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,臺北市市政大樓1,市府路1號,戶外開放式吸菸區,週一至週五07:00-19:00，例假日及國定假日不開放,25.03836,121.56394,3樓北區露臺,https://lh3.googleusercontent.com/d/1pZfvM6S-sQTlJvYhrnqo5YdAtjyHaGKN,臺北市市政大樓公共事務管理中心,(02)27208889-8608,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,臺北市市政大樓2,市府路1號,戶外開放式吸菸區,週一至週五07:00-19:00，例假日及國定假日不開放,25.03712,121.56447,12樓東南區天臺,https://lh3.googleusercontent.com/d/1SCnwF7_0YuNttgpuiyKWCbgLMwSiIW2z,臺北市市政大樓公共事務管理中心,(02)27208889-8608,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,大巨蛋文化體育園區1,忠孝東路4段515號,戶外開放式吸菸區,24小時開放,25.04146,121.56021,忠孝東路4段側,,遠雄巨蛋事業股份有限公司,(02)27228811,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,大巨蛋文化體育園區2,忠孝東路4段516號,戶外開放式吸菸區,24小時開放,25.04225,121.56074,逸仙路側，臨辦公棟,,遠雄巨蛋事業股份有限公司,(02)27228811,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,大巨蛋文化體育園區3,忠孝東路四段517號,戶外開放式吸菸區,24小時開放,25.04271,121.56138,逸仙路側，臨旅館棟,,遠雄巨蛋事業股份有限公司,(02)27228811,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,大巨蛋文化體育園區4,忠孝東路4段518號,戶外開放式吸菸區,24小時開放,25.04317,121.55882,光復南路側，商場棟後方,,遠雄巨蛋事業股份有限公司,(02)27228811,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,大巨蛋文化體育園區5,忠孝東路4段519號,戶外開放式吸菸區,24小時開放,25.04483,121.55861,菸廠路側，臨辦公棟,,遠雄巨蛋事業股份有限公司,(02)27228811,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,大巨蛋文化體育園區6,忠孝東路4段520號,戶外開放式吸菸區,24小時開放,25.04449,121.55792,光復南路側，臨影城棟,,遠雄巨蛋事業股份有限公司,(02)27228811,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,臺北市懷愛館火化場旁,辛亥路3段330號,戶外開放式吸菸區,24小時開放,25.01242,121.55329,火化場門口(朝景仰、景行樓方向)右手邊,https://lh3.googleusercontent.com/d/1K81z6qCHXYhZEsDhNC_mnXai9eS6lvOc,臺北市殯葬管理處,(02)87329686-29732,本位置資訊僅供參考，實際情形以現場公告及標示為準
